,Estimate Amount,Margin of Error
Total:,81930212,88967
"    Less than $10,000",3733930,29757
"    $10,000 to $14,999",2845837,27722
"    $15,000 to $19,999",2950259,29271
"    $20,000 to $24,999",3215304,33972
"    $25,000 to $29,999",3049988,29099
"    $30,000 to $34,999",3276517,33457
"    $35,000 to $39,999",3099220,27791
"    $40,000 to $44,999",3250682,26218
"    $45,000 to $49,999",2984111,26643
"    $50,000 to $59,999",5973771,37218
"    $60,000 to $74,999",8199243,42998
"    $75,000 to $99,999",10964908,56750
"    $100,000 to $124,999",8371461,46333
"    $125,000 to $149,999",5588845,34620
"    $150,000 to $199,999",6515064,40469
"    $200,000 or more",7911072,37901
,,
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,
