Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"TOTAL
POPULATION","3,739,506","3,739,607","3,752,274","3,801,451","3,853,222","3,902,766","3,953,354","4,004,358","4,054,740","4,101,605","4,145,811","4,188,092"
.Under 5 years,"330,139","330,141","329,544","326,633","324,461","321,907","322,329","322,332","323,068","320,521","317,896","314,226"
.5 to 9 years,"320,764","320,765","321,287","324,117","328,749","332,171","332,263","331,006","328,339","326,425","323,930","324,280"
.10 to 14 years,"317,883","317,886","318,399","319,659","320,148","320,368","321,651","322,808","325,854","330,648","334,185","334,255"
.15 to 19 years,"339,729","339,750","338,655","332,341","325,293","321,158","319,267","321,067","322,630","323,236","323,494","324,659"
.20 to 24 years,"318,707","318,721","320,715","329,139","338,735","343,849","345,399","342,184","336,030","329,303","325,264","323,190"
.25 to 29 years,"299,870","299,885","300,229","303,145","305,667","308,875","314,745","322,937","332,068","341,247","345,965","347,160"
.30 to 34 years,"275,224","275,228","277,131","283,244","288,361","294,596","298,972","300,465","303,807","306,224","309,451","315,020"
.35 to 39 years,"261,236","261,241","260,938","259,812","261,920","264,870","268,745","275,742","282,014","287,131","293,246","297,489"
.40 to 44 years,"250,924","250,931","251,342","254,231","256,968","258,524","258,978","258,449","257,391","259,440","262,260","265,892"
.45 to 49 years,"254,602","254,608","254,580","253,538","251,078","248,617","246,595","247,231","250,375","253,093","254,709","255,123"
.50 to 54 years,"227,604","227,605","229,317","235,024","239,391","243,662","247,530","248,237","247,319","244,971","242,589","240,652"
.55 to 59 years,"177,105","177,108","179,195","188,070","197,951","206,087","213,383","221,202","226,885","231,197","235,427","239,133"
.60 to 64 years,"133,686","133,691","135,908","144,972","149,026","155,328","162,403","170,412","179,015","188,460","196,338","203,338"
.65 to 69 years,"88,685","88,689","89,647","94,154","103,306","110,665","118,553","126,913","135,387","139,259","145,224","151,885"
.70 to 74 years,"60,278","60,278","61,068","64,250","67,999","72,231","76,894","81,116","85,439","94,010","100,966","108,322"
.75 to 79 years,"39,495","39,497","39,980","42,294","44,512","47,186","49,931","52,830","55,786","59,183","63,079","67,275"
.80 to 84 years,"24,676","24,680","25,065","26,263","27,552","29,005","30,482","32,149","34,200","36,113","38,461","40,812"
.85 years and over,"18,899","18,903","19,274","20,565","22,105","23,667","25,234","27,278","29,133","31,144","33,327","35,381"
,,,,,,,,,,,,
.Under 18 years,"1,168,468","1,168,486","1,167,725","1,164,013","1,164,016","1,164,553","1,167,355","1,169,994","1,171,619","1,171,803","1,168,696","1,166,260"
..Under 5 years,"330,139","330,141","329,544","326,633","324,461","321,907","322,329","322,332","323,068","320,521","317,896","314,226"
..5 to 13 years,"575,782","575,786","576,807","580,730","585,165","588,820","588,353","589,651","590,607","592,965","593,015","591,848"
..14 to 17 years,"262,547","262,559","261,374","256,650","254,390","253,826","256,673","258,011","257,944","258,317","257,785","260,186"
.18 to 64 years,"2,339,005","2,339,074","2,349,515","2,389,912","2,423,732","2,455,459","2,484,905","2,514,078","2,543,176","2,570,093","2,596,058","2,618,157"
..18 to 24 years,"458,754","458,777","460,875","467,876","473,370","474,900","473,554","469,403","464,302","458,330","456,073","454,350"
..25 to 44 years,"1,087,254","1,087,285","1,089,640","1,100,432","1,112,916","1,126,865","1,141,440","1,157,593","1,175,280","1,194,042","1,210,922","1,225,561"
..45 to 64 years,"792,997","793,012","799,000","821,604","837,446","853,694","869,911","887,082","903,594","917,721","929,063","938,246"
.65 years and over,"232,033","232,047","235,034","247,526","265,474","282,754","301,094","320,286","339,945","359,709","381,057","403,675"
.85 years and over,"18,899","18,903","19,274","20,565","22,105","23,667","25,234","27,278","29,133","31,144","33,327","35,381"
,,,,,,,,,,,,
.16 years and over,"2,706,120","2,706,214","2,718,702","2,768,102","2,816,793","2,864,552","2,913,299","2,962,529","3,013,177","3,060,305","3,105,588","3,150,144"
.18 years and over,"2,571,038","2,571,121","2,584,549","2,637,438","2,689,206","2,738,213","2,785,999","2,834,364","2,883,121","2,929,802","2,977,115","3,021,832"
.15 to 44 years,"1,745,690","1,745,756","1,749,010","1,761,912","1,776,944","1,791,872","1,806,106","1,820,844","1,833,940","1,846,581","1,859,680","1,873,410"
,,,,,,,,,,,,
.Median age (years),29.0,29.0,29.1,29.4,29.7,30.1,30.4,30.6,31.0,31.3,31.6,31.9
.MALE,"1,889,695","1,889,767","1,895,989","1,919,837","1,945,629","1,970,187","1,994,980","2,020,183","2,044,700","2,067,292","2,088,432","2,108,806"
..Under 5 years,"167,969","167,969","167,682","166,145","164,970","163,780","164,117","164,205","164,553","163,241","161,892","160,102"
..5 to 9 years,"162,839","162,840","163,017","164,552","166,995","168,782","169,013","168,458","167,027","165,937","164,705","164,972"
..10 to 14 years,"161,871","161,874","162,164","162,453","162,688","162,875","163,421","163,761","165,534","168,157","170,029","170,237"
..15 to 19 years,"175,499","175,517","174,627","170,759","166,469","163,842","162,657","163,580","164,064","164,388","164,651","165,160"
..20 to 24 years,"168,049","168,060","169,177","173,152","177,706","179,602","179,205","176,644","172,745","168,642","166,064","164,843"
..25 to 29 years,"156,638","156,650","156,878","158,821","160,506","162,458","165,821","170,257","174,739","178,818","180,225","179,542"
..30 to 34 years,"142,673","142,676","143,771","146,760","149,638","153,315","155,632","156,492","158,779","160,232","162,186","165,359"
..35 to 39 years,"133,695","133,700","133,621","133,425","134,648","136,357","138,526","142,482","145,587","148,450","151,865","154,058"
..40 to 44 years,"127,701","127,708","127,880","129,394","131,207","131,813","132,112","131,874","131,719","132,828","134,432","136,447"
..45 to 49 years,"126,937","126,941","126,954","127,048","126,123","125,262","124,699","125,303","126,861","128,552","129,119","129,414"
..50 to 54 years,"111,339","111,339","112,310","115,181","117,369","119,976","122,317","122,974","123,066","122,200","121,400","120,871"
..55 to 59 years,"85,902","85,904","86,925","91,113","96,134","99,961","103,501","107,407","110,274","112,424","114,988","117,227"
..60 to 64 years,"65,082","65,085","66,126","70,344","71,778","74,638","77,768","81,547","85,561","90,320","93,991","97,384"
..65 to 69 years,"42,317","42,319","42,679","44,774","49,327","52,883","56,725","60,728","64,558","65,879","68,538","71,407"
..70 to 74 years,"27,696","27,696","28,139","29,768","31,618","33,653","35,837","37,723","39,712","43,926","47,254","50,770"
..75 to 79 years,"16,970","16,970","17,197","18,343","19,497","20,748","22,072","23,571","25,048","26,685","28,515","30,457"
..80 to 84 years,"10,001","10,001","10,167","10,653","11,232","11,876","12,482","13,245","14,232","15,187","16,247","17,351"
..85 years and over,"6,517","6,518","6,675","7,152","7,724","8,366","9,075","9,932","10,641","11,426","12,331","13,205"
,,,,,,,,,,,,
..Under 18 years,"594,994","595,008","594,560","592,146","592,047","592,268","593,583","594,935","595,898","596,236","594,661","593,680"
...Under 5 years,"167,969","167,969","167,682","166,145","164,970","163,780","164,117","164,205","164,553","163,241","161,892","160,102"
...5 to 13 years,"292,454","292,458","292,997","294,908","297,392","299,338","298,983","299,679","300,127","301,453","301,787","301,410"
...14 to 17 years,"134,571","134,581","133,881","131,093","129,685","129,150","130,483","131,051","131,218","131,542","130,982","132,168"
..18 to 64 years,"1,191,200","1,191,255","1,196,572","1,217,001","1,234,184","1,250,393","1,265,206","1,280,049","1,294,611","1,307,953","1,320,886","1,331,936"
...18 to 24 years,"241,233","241,252","242,107","244,915","246,781","246,613","244,830","241,713","238,025","234,129","232,680","231,634"
...25 to 44 years,"560,707","560,734","562,150","568,400","575,999","583,943","592,091","601,105","610,824","620,328","628,708","635,406"
...45 to 64 years,"389,260","389,269","392,315","403,686","411,404","419,837","428,285","437,231","445,762","453,496","459,498","464,896"
..65 years and over,"103,501","103,504","104,857","110,690","119,398","127,526","136,191","145,199","154,191","163,103","172,885","183,190"
..85 years and over,"6,517","6,518","6,675","7,152","7,724","8,366","9,075","9,932","10,641","11,426","12,331","13,205"
,,,,,,,,,,,,
..16 years and over,"1,363,914","1,363,981","1,370,215","1,394,471","1,418,880","1,442,448","1,466,071","1,490,243","1,514,971","1,537,452","1,559,115","1,580,503"
..18 years and over,"1,294,701","1,294,759","1,301,429","1,327,691","1,353,582","1,377,919","1,401,397","1,425,248","1,448,802","1,471,056","1,493,771","1,515,126"
..15 to 44 years,"904,255","904,311","905,954","912,311","920,174","927,387","933,953","941,329","947,633","953,358","959,423","965,409"
,,,,,,,,,,,,
..Median age (years),28.4,28.4,28.5,28.8,29.2,29.5,29.8,30.1,30.4,30.7,31.1,31.4
.FEMALE,"1,849,811","1,849,840","1,856,285","1,881,614","1,907,593","1,932,579","1,958,374","1,984,175","2,010,040","2,034,313","2,057,379","2,079,286"
..Under 5 years,"162,170","162,172","161,862","160,488","159,491","158,127","158,212","158,127","158,515","157,280","156,004","154,124"
..5 to 9 years,"157,925","157,925","158,270","159,565","161,754","163,389","163,250","162,548","161,312","160,488","159,225","159,308"
..10 to 14 years,"156,012","156,012","156,235","157,206","157,460","157,493","158,230","159,047","160,320","162,491","164,156","164,018"
..15 to 19 years,"164,230","164,233","164,028","161,582","158,824","157,316","156,610","157,487","158,566","158,848","158,843","159,499"
..20 to 24 years,"150,658","150,661","151,538","155,987","161,029","164,247","166,194","165,540","163,285","160,661","159,200","158,347"
..25 to 29 years,"143,232","143,235","143,351","144,324","145,161","146,417","148,924","152,680","157,329","162,429","165,740","167,618"
..30 to 34 years,"132,551","132,552","133,360","136,484","138,723","141,281","143,340","143,973","145,028","145,992","147,265","149,661"
..35 to 39 years,"127,541","127,541","127,317","126,387","127,272","128,513","130,219","133,260","136,427","138,681","141,381","143,431"
..40 to 44 years,"123,223","123,223","123,462","124,837","125,761","126,711","126,866","126,575","125,672","126,612","127,828","129,445"
..45 to 49 years,"127,665","127,667","127,626","126,490","124,955","123,355","121,896","121,928","123,514","124,541","125,590","125,709"
..50 to 54 years,"116,265","116,266","117,007","119,843","122,022","123,686","125,213","125,263","124,253","122,771","121,189","119,781"
..55 to 59 years,"91,203","91,204","92,270","96,957","101,817","106,126","109,882","113,795","116,611","118,773","120,439","121,906"
..60 to 64 years,"68,604","68,606","69,782","74,628","77,248","80,690","84,635","88,865","93,454","98,140","102,347","105,954"
..65 to 69 years,"46,368","46,370","46,968","49,380","53,979","57,782","61,828","66,185","70,829","73,380","76,686","80,478"
..70 to 74 years,"32,582","32,582","32,929","34,482","36,381","38,578","41,057","43,393","45,727","50,084","53,712","57,552"
..75 to 79 years,"22,525","22,527","22,783","23,951","25,015","26,438","27,859","29,259","30,738","32,498","34,564","36,818"
..80 to 84 years,"14,675","14,679","14,898","15,610","16,320","17,129","18,000","18,904","19,968","20,926","22,214","23,461"
..85 years and over,"12,382","12,385","12,599","13,413","14,381","15,301","16,159","17,346","18,492","19,718","20,996","22,176"
,,,,,,,,,,,,
..Under 18 years,"573,474","573,478","573,165","571,867","571,969","572,285","573,772","575,059","575,721","575,567","574,035","572,580"
...Under 5 years,"162,170","162,172","161,862","160,488","159,491","158,127","158,212","158,127","158,515","157,280","156,004","154,124"
...5 to 13 years,"283,328","283,328","283,810","285,822","287,773","289,482","289,370","289,972","290,480","291,512","291,228","290,438"
...14 to 17 years,"127,976","127,978","127,493","125,557","124,705","124,676","126,190","126,960","126,726","126,775","126,803","128,018"
..18 to 64 years,"1,147,805","1,147,819","1,152,943","1,172,911","1,189,548","1,205,066","1,219,699","1,234,029","1,248,565","1,262,140","1,275,172","1,286,221"
...18 to 24 years,"217,521","217,525","218,768","222,961","226,589","228,287","228,724","227,690","226,277","224,201","223,393","222,716"
...25 to 44 years,"526,547","526,551","527,490","532,032","536,917","542,922","549,349","556,488","564,456","573,714","582,214","590,155"
...45 to 64 years,"403,737","403,743","406,685","417,918","426,042","433,857","441,626","449,851","457,832","464,225","469,565","473,350"
..65 years and over,"128,532","128,543","130,177","136,836","146,076","155,228","164,903","175,087","185,754","196,606","208,172","220,485"
..85 years and over,"12,382","12,385","12,599","13,413","14,381","15,301","16,159","17,346","18,492","19,718","20,996","22,176"
,,,,,,,,,,,,
..16 years and over,"1,342,206","1,342,233","1,348,487","1,373,631","1,397,913","1,422,104","1,447,228","1,472,286","1,498,206","1,522,853","1,546,473","1,569,641"
..18 years and over,"1,276,337","1,276,362","1,283,120","1,309,747","1,335,624","1,360,294","1,384,602","1,409,116","1,434,319","1,458,746","1,483,344","1,506,706"
..15 to 44 years,"841,435","841,445","843,056","849,601","856,770","864,485","872,153","879,515","886,307","893,223","900,257","908,001"
,,,,,,,,,,,,
..Median age (years),29.7,29.7,29.7,30.1,30.4,30.7,31.0,31.3,31.6,31.9,32.2,32.5
.NOT HISPANIC,"2,263,258","2,263,342","2,268,775","2,289,536","2,311,213","2,331,890","2,352,171","2,370,871","2,388,699","2,405,169","2,420,241","2,434,908"
..Under 5 years,"175,971","175,972","175,815","175,188","174,053","172,963","172,799","171,780","169,590","167,319","164,571","161,894"
..5 to 9 years,"176,440","176,440","176,229","175,941","176,739","177,721","176,870","175,727","175,108","173,966","172,821","172,598"
..10 to 14 years,"182,202","182,205","182,158","181,795","180,636","178,724","177,569","176,104","175,883","176,724","177,696","176,829"
..15 to 19 years,"199,789","199,805","199,043","194,012","188,371","184,672","182,246","182,012","181,627","180,458","178,502","177,333"
