"TOTAL
POPULATION","308,745,538","308,758,105","309,321,666","311,556,874","313,830,990","315,993,715","318,301,008","320,635,163","322,941,311","324,985,539","326,687,501","328,239,523"
.Under 5 years,"20,201,362","20,201,426","20,188,815","20,123,103","19,976,065","19,849,215","19,872,349","19,918,078","19,921,759","19,890,972","19,762,962","19,576,683"
.5 to 9 years,"20,348,657","20,348,744","20,331,228","20,332,498","20,467,140","20,567,323","20,515,031","20,476,769","20,434,232","20,309,346","20,188,285","20,195,895"
.10 to 14 years,"20,677,194","20,677,377","20,680,606","20,712,798","20,669,745","20,650,890","20,665,650","20,604,377","20,621,321","20,767,794","20,868,629","20,798,268"
.15 to 19 years,"22,040,343","22,041,547","21,981,099","21,658,481","21,369,214","21,177,456","21,052,826","21,081,020","21,129,270","21,094,597","21,064,661","21,054,570"
.20 to 24 years,"21,585,999","21,587,573","21,701,298","22,159,198","22,585,960","22,812,234","22,873,939","22,668,650","22,344,607","22,042,321","21,808,086","21,632,940"
.25 to 29 years,"21,101,849","21,103,107","21,142,877","21,280,528","21,384,448","21,569,047","21,950,644","22,409,198","22,913,093","23,328,936","23,510,961","23,509,016"
.30 to 34 years,"19,962,099","19,963,024","20,067,937","20,513,526","20,906,551","21,265,403","21,497,810","21,629,000","21,818,912","21,934,476","22,099,149","22,431,305"
.35 to 39 years,"20,179,642","20,180,492","20,077,263","19,598,032","19,489,489","19,603,293","19,871,215","20,304,700","20,779,399","21,180,305","21,532,022","21,737,521"
.40 to 44 years,"20,890,964","20,891,834","20,903,209","21,035,267","21,021,439","20,841,668","20,530,161","20,132,902","19,679,819","19,576,279","19,681,452","19,921,623"
.45 to 49 years,"22,708,591","22,709,463","22,634,936","22,162,091","21,684,685","21,203,733","20,821,238","20,763,252","20,909,192","20,900,207","20,718,525","20,397,751"
.50 to 54 years,"22,298,125","22,298,808","22,351,456","22,563,625","22,571,467","22,546,195","22,509,694","22,252,279","21,797,837","21,332,133","20,859,181","20,477,151"
.55 to 59 years,"19,664,805","19,665,224","19,793,660","20,256,180","20,765,675","21,171,871","21,457,535","21,732,941","21,940,362","21,946,316","21,917,682","21,877,391"
.60 to 64 years,"16,817,924","16,818,267","16,989,058","17,811,532","17,808,749","18,105,932","18,525,900","19,011,227","19,449,437","19,928,453","20,306,567","20,571,146"
.65 to 69 years,"12,435,263","12,435,567","12,520,579","12,878,295","13,979,404","14,590,860","15,295,394","16,029,148","16,799,653","16,793,231","17,067,219","17,455,001"
.70 to 74 years,"9,278,166","9,278,478","9,335,850","9,607,841","10,012,811","10,602,004","11,057,703","11,456,040","11,789,654","12,811,548","13,381,964","14,028,432"
.75 to 79 years,"7,317,795","7,318,246","7,319,818","7,388,998","7,494,399","7,681,597","7,916,108","8,110,430","8,363,123","8,722,171","9,252,075","9,652,665"
.80 to 84 years,"5,743,327","5,743,925","5,758,470","5,777,688","5,779,112","5,762,047","5,755,572","5,793,272","5,868,100","5,959,281","6,123,781","6,317,207"
.85 years and over,"5,493,433","5,495,003","5,543,507","5,697,193","5,864,637","5,992,947","6,132,239","6,261,880","6,381,541","6,467,173","6,544,300","6,604,958"
,,,,,,,,,,,,
.Under 18 years,"74,181,467","74,182,279","74,120,666","73,907,524","73,696,664","73,568,702","73,563,723","73,618,051","73,649,413","73,585,346","73,319,145","73,039,150"
..Under 5 years,"20,201,362","20,201,426","20,188,815","20,123,103","19,976,065","19,849,215","19,872,349","19,918,078","19,921,759","19,890,972","19,762,962","19,576,683"
