Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"TOTAL
POPULATION","15,159,516","15,159,643","15,261,408","15,721,072","16,195,092","16,679,752","17,203,569","17,752,744","18,279,949","18,764,237","19,134,105","19,504,862"
.Under 5 years,"947,543","947,544","947,493","946,794","949,223","957,491","972,830","994,928","1,018,888","1,031,153","1,022,638","1,015,050"
.5 to 9 years,"972,090","972,091","974,827","990,979","1,014,777","1,031,909","1,041,153","1,051,807","1,054,856","1,059,735","1,064,548","1,073,210"
.10 to 14 years,"922,487","922,488","929,170","952,785","971,773","1,002,078","1,036,764","1,061,338","1,076,716","1,098,363","1,109,900","1,112,902"
.15 to 19 years,"998,727","998,748","998,177","1,000,589","1,012,226","1,029,357","1,046,268","1,071,545","1,096,198","1,112,695","1,132,915","1,158,417"
.20 to 24 years,"1,149,187","1,149,225","1,158,972","1,207,957","1,247,309","1,271,547","1,288,636","1,299,605","1,306,512","1,314,616","1,310,073","1,304,858"
.25 to 29 years,"1,278,653","1,278,670","1,285,955","1,324,801","1,355,257","1,394,506","1,453,934","1,518,448","1,582,002","1,626,121","1,633,245","1,625,556"
.30 to 34 years,"1,283,928","1,283,936","1,289,638","1,327,358","1,380,674","1,436,449","1,492,039","1,543,833","1,599,009","1,636,847","1,667,054","1,708,800"
.35 to 39 years,"1,333,506","1,333,512","1,337,759","1,353,774","1,364,286","1,375,352","1,400,741","1,440,000","1,486,067","1,544,980","1,598,344","1,645,590"
.40 to 44 years,"1,187,854","1,187,858","1,201,064","1,255,425","1,319,787","1,366,094","1,400,989","1,428,204","1,448,539","1,461,164","1,468,036","1,486,103"
.45 to 49 years,"1,104,686","1,104,692","1,108,560","1,136,399","1,157,132","1,175,949","1,207,612","1,259,158","1,313,165","1,375,964","1,417,961","1,447,456"
.50 to 54 years,"1,004,381","1,004,384","1,012,153","1,029,944","1,050,918","1,086,237","1,124,412","1,145,513","1,171,924","1,190,733","1,205,086","1,231,402"
.55 to 59 years,"863,022","863,025","871,091","911,632","948,239","982,244","1,009,429","1,040,115","1,058,927","1,079,280","1,110,383","1,143,030"
.60 to 64 years,"703,072","703,073","715,540","761,684","793,796","825,728","858,994","892,076","933,397","969,359","999,984","1,023,018"
.65 to 69 years,"483,289","483,289","490,650","520,795","564,679","614,566","666,632","724,558","771,163","803,541","833,135","862,595"
.70 to 74 years,"360,665","360,668","365,515","386,381","410,101","432,260","458,864","486,378","516,108","558,727","605,599","653,253"
.75 to 79 years,"255,316","255,318","257,792","272,604","288,957","305,721","324,866","346,327","366,244","388,451","408,691","432,416"
.80 to 84 years,"171,393","171,398","174,012","184,236","194,162","205,455","216,224","227,364","241,130","255,820","270,752","287,130"
.85 years and over,"139,717","139,724","143,040","156,935","171,796","186,809","203,182","221,547","239,104","256,688","275,761","294,076"
,,,,,,,,,,,,
.Under 18 years,"3,410,894","3,410,902","3,422,815","3,472,633","3,527,031","3,591,369","3,656,534","3,730,230","3,793,858","3,847,946","3,867,757","3,881,610"
..Under 5 years,"947,543","947,544","947,493","946,794","949,223","957,491","972,830","994,928","1,018,888","1,031,153","1,022,638","1,015,050"
..5 to 13 years,"1,707,480","1,707,481","1,715,866","1,754,032","1,795,409","1,842,059","1,873,229","1,900,839","1,922,731","1,936,762","1,949,940","1,960,182"
..14 to 17 years,"755,871","755,877","759,456","771,807","782,399","791,819","810,475","834,463","852,239","880,031","895,179","906,378"
.18 to 64 years,"10,338,242","10,338,344","10,407,584","10,727,488","11,038,366","11,343,572","11,677,267","12,016,340","12,352,342","12,653,064","12,872,410","13,093,782"
..18 to 24 years,"1,579,140","1,579,194","1,585,824","1,626,471","1,668,277","1,701,013","1,729,117","1,748,993","1,759,312","1,768,616","1,772,317","1,782,827"
..25 to 44 years,"5,083,941","5,083,976","5,114,416","5,261,358","5,420,004","5,572,401","5,747,703","5,930,485","6,115,617","6,269,112","6,366,679","6,466,049"
..45 to 64 years,"3,675,161","3,675,174","3,707,344","3,839,659","3,950,085","4,070,158","4,200,447","4,336,862","4,477,413","4,615,336","4,733,414","4,844,906"
.65 years and over,"1,410,380","1,410,397","1,431,009","1,520,951","1,629,695","1,744,811","1,869,768","2,006,174","2,133,749","2,263,227","2,393,938","2,529,470"
.85 years and over,"139,717","139,724","143,040","156,935","171,796","186,809","203,182","221,547","239,104","256,688","275,761","294,076"
,,,,,,,,,,,,
.16 years and over,"12,130,239","12,130,360","12,222,423","12,638,235","13,065,432","13,492,810","13,955,973","14,434,830","14,912,309","15,361,607","15,712,181","16,075,664"
.18 years and over,"11,748,622","11,748,741","11,838,593","12,248,439","12,668,061","13,088,383","13,547,035","14,022,514","14,486,091","14,916,291","15,266,348","15,623,252"
.15 to 44 years,"7,231,855","7,231,949","7,271,565","7,469,904","7,679,539","7,873,305","8,082,607","8,301,635","8,518,327","8,696,423","8,809,667","8,929,324"
,,,,,,,,,,,,
.Median age (years),35.1,35.1,35.2,35.4,35.6,35.8,36.0,36.1,36.3,36.6,36.9,37.2
.MALE,"7,218,477","7,218,565","7,267,213","7,484,579","7,711,570","7,944,164","8,195,622","8,460,363","8,714,985","8,948,460","9,127,842","9,307,605"
..Under 5 years,"482,729","482,729","482,843","483,078","484,507","489,963","498,963","511,338","523,815","530,388","525,930","521,862"
..5 to 9 years,"485,353","485,354","487,013","496,500","510,629","521,028","527,339","534,648","537,493","540,657","544,637","550,386"
..10 to 14 years,"464,836","464,837","467,967","479,533","488,692","503,441","519,958","532,008","540,566","553,467","561,224","564,500"
..15 to 19 years,"512,485","512,500","511,823","511,780","515,611","522,375","529,066","540,327","551,734","559,082","568,401","580,384"
..20 to 24 years,"580,878","580,910","586,319","611,341","632,809","646,585","656,515","662,081","665,078","667,360","663,001","658,274"
..25 to 29 years,"608,926","608,942","613,643","636,625","655,456","677,938","709,429","744,328","777,702","801,924","808,682","807,951"
..30 to 34 years,"601,578","601,583","603,475","619,389","645,667","674,009","704,097","732,493","764,078","786,356","804,539","827,587"
..35 to 39 years,"628,225","628,228","630,349","637,677","641,108","645,123","655,695","673,289","695,130","725,400","753,263","779,335"
..40 to 44 years,"558,166","558,167","564,233","588,565","618,039","639,560","655,986","669,077","678,191","682,737","685,156","692,781"
..45 to 49 years,"517,871","517,874","520,111","533,854","542,870","550,581","565,612","588,882","613,596","642,581","662,379","676,325"
..50 to 54 years,"463,406","463,408","467,281","476,174","487,266","504,299","522,227","532,946","546,345","554,746","560,767","573,499"
..55 to 59 years,"389,362","389,362","393,127","412,751","430,421","446,924","459,893","474,901","483,707","494,152","509,588","525,283"
..60 to 64 years,"315,688","315,688","321,035","340,122","354,215","367,951","382,673","397,394","417,136","434,033","448,655","459,796"
..65 to 69 years,"219,379","219,379","222,370","235,247","253,861","274,909","296,838","321,254","339,755","353,231","365,705","378,674"
..70 to 74 years,"163,134","163,136","165,541","175,025","185,144","194,843","205,709","216,856","229,503","247,495","267,021","286,774"
..75 to 79 years,"107,559","107,561","108,916","116,553","124,992","133,865","143,398","153,677","162,659","172,045","180,915","190,490"
..80 to 84 years,"67,047","67,050","68,159","72,584","77,129","82,281","87,804","93,601","100,640","108,065","115,768","123,778"
..85 years and over,"51,855","51,857","53,008","57,781","63,154","68,489","74,420","81,263","87,857","94,741","102,211","109,926"
,,,,,,,,,,,,
..Under 18 years,"1,724,699","1,724,704","1,730,538","1,755,868","1,783,432","1,817,307","1,851,637","1,891,102","1,925,605","1,955,294","1,967,860","1,977,006"
...Under 5 years,"482,729","482,729","482,843","483,078","484,507","489,963","498,963","511,338","523,815","530,388","525,930","521,862"
...5 to 13 years,"855,368","855,369","859,751","880,373","903,060","927,646","944,250","959,749","973,388","983,499","993,568","1,001,552"
...14 to 17 years,"386,602","386,606","387,944","392,417","395,865","399,698","408,424","420,015","428,402","441,407","448,362","453,592"
..18 to 64 years,"4,884,804","4,884,878","4,918,681","5,071,521","5,223,858","5,372,470","5,535,816","5,702,610","5,868,966","6,017,589","6,128,362","6,240,957"
...18 to 24 years,"801,582","801,626","805,427","826,364","848,816","866,085","880,204","889,300","893,081","895,660","895,333","898,400"
...25 to 44 years,"2,396,895","2,396,920","2,411,700","2,482,256","2,560,270","2,636,630","2,725,207","2,819,187","2,915,101","2,996,417","3,051,640","3,107,654"
...45 to 64 years,"1,686,327","1,686,332","1,701,554","1,762,901","1,814,772","1,869,755","1,930,405","1,994,123","2,060,784","2,125,512","2,181,389","2,234,903"
..65 years and over,"608,974","608,983","617,994","657,190","704,280","754,387","808,169","866,651","920,414","975,577","1,031,620","1,089,642"
..85 years and over,"51,855","51,857","53,008","57,781","63,154","68,489","74,420","81,263","87,857","94,741","102,211","109,926"
,,,,,,,,,,,,
..16 years and over,"5,689,879","5,689,964","5,733,903","5,928,125","6,129,967","6,331,310","6,550,069","6,776,837","7,003,818","7,217,064","7,383,706","7,556,838"
..18 years and over,"5,493,778","5,493,861","5,536,675","5,728,711","5,928,138","6,126,857","6,343,985","6,569,261","6,789,380","6,993,166","7,159,982","7,330,599"
