Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"TOTAL
POPULATION","6,984,195","6,984,330","7,039,225","7,266,443","7,495,899","7,728,870","7,968,051","8,212,721","8,457,567","8,694,466","8,920,749","9,142,356"
.Under 5 years,"1,118,819","1,118,825","1,123,886","1,141,429","1,149,086","1,153,617","1,162,209","1,168,564","1,178,503","1,184,356","1,181,290","1,175,941"
.5 to 9 years,"943,577","943,579","950,762","983,077","1,025,003","1,067,164","1,099,659","1,130,897","1,149,297","1,157,820","1,162,722","1,170,828"
.10 to 14 years,"829,309","829,312","835,427","860,243","881,134","903,786","930,082","957,381","990,382","1,032,732","1,074,941","1,106,781"
.15 to 19 years,"722,779","722,811","728,884","751,285","772,744","796,753","820,569","846,453","871,609","892,476","914,794","940,176"
.20 to 24 years,"566,276","566,308","574,255","609,460","647,394","682,420","717,271","746,810","771,159","792,614","815,708","837,526"
.25 to 29 years,"487,879","487,897","490,366","501,495","515,138","532,029","556,877","588,571","626,905","666,352","701,066","734,840"
.30 to 34 years,"419,512","419,517","424,227","443,000","459,526","475,660","488,791","499,482","512,428","527,437","544,880","569,107"
.35 to 39 years,"356,517","356,523","357,824","363,517","375,432","390,353","408,024","429,972","449,564","466,629","483,148","495,437"
.40 to 44 years,"313,985","313,988","316,648","329,373","340,070","348,953","355,357","359,890","365,966","378,183","393,153","410,169"
.45 to 49 years,"301,869","301,876","302,292","302,623","302,581","303,486","307,207","316,445","329,465","340,215","349,130","355,161"
.50 to 54 years,"267,811","267,819","270,067","278,385","285,447","291,747","297,381","299,512","299,716","299,521","300,300","303,752"
.55 to 59 years,"207,103","207,108","209,640","221,566","234,118","245,086","255,090","265,093","273,290","280,095","286,041","291,241"
.60 to 64 years,"155,614","155,614","158,430","169,332","174,508","183,032","192,855","203,714","215,410","227,506","237,996","247,443"
.65 to 69 years,"105,088","105,088","106,348","112,118","123,743","132,549","141,849","151,984","162,283","167,128","175,240","184,395"
.70 to 74 years,"72,432","72,434","73,320","77,382","82,012","88,094","93,915","99,451","104,971","115,964","124,286","132,987"
.75 to 79 years,"50,882","50,883","51,230","53,465","55,942","58,871","61,956","65,525","69,339","73,609","79,249","84,568"
