Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"TOTAL
POPULATION","241,937,061","241,945,431","242,235,328","243,292,145","244,354,778","245,308,889","246,350,641","247,382,690","248,413,058","249,270,773","249,961,025","250,522,190"
.Under 5 years,"14,690,507","14,690,548","14,675,375","14,602,334","14,472,665","14,359,811","14,358,578","14,366,534","14,329,680","14,287,580","14,194,137","14,055,084"
.5 to 9 years,"15,043,790","15,043,859","15,022,087","14,977,663","15,010,651","15,006,185","14,892,988","14,805,913","14,746,404","14,630,851","14,525,788","14,517,665"
.10 to 14 years,"15,398,972","15,399,086","15,389,518","15,370,094","15,304,220","15,260,649","15,234,407","15,152,386","15,120,658","15,164,726","15,165,926","15,042,505"
.15 to 19 years,"16,346,255","16,347,004","16,298,839","16,058,588","15,837,498","15,686,521","15,582,643","15,568,581","15,561,080","15,504,804","15,462,398","15,423,765"
.20 to 24 years,"16,245,679","16,246,746","16,304,946","16,518,226","16,721,383","16,791,358","16,772,411","16,584,264","16,334,913","16,103,717","15,935,286","15,808,772"
.25 to 29 years,"16,060,503","16,061,243","16,084,778","16,130,947","16,140,502","16,192,435","16,357,947","16,562,497","16,797,139","16,986,466","17,035,639","16,985,565"
.30 to 34 years,"15,184,030","15,184,503","15,257,319","15,567,292","15,825,519","16,052,695","16,185,233","16,237,371","16,312,161","16,324,536","16,366,911","16,505,500"
.35 to 39 years,"15,472,899","15,473,383","15,372,055","14,925,625","14,796,060","14,859,004","15,020,318","15,299,876","15,626,631","15,886,375","16,110,012","16,227,122"
.40 to 44 years,"16,341,316","16,341,809","16,339,647","16,387,382","16,282,528","16,052,144","15,716,308","15,325,311","14,896,057","14,770,310","14,831,058","14,976,853"
.45 to 49 years,"18,102,927","18,103,393","18,027,281","17,551,795","17,096,397","16,641,198","16,277,298","16,169,626","16,228,208","16,128,887","15,900,838","15,561,807"
.50 to 54 years,"18,008,313","18,008,686","18,038,745","18,179,716","18,138,706","18,049,500","17,954,115","17,682,268","17,223,903","16,780,456","16,336,242","15,976,783"
.55 to 59 years,"16,143,474","16,143,706","16,240,172","16,559,515","16,910,114","17,181,479","17,353,782","17,515,202","17,650,339","17,607,974","17,520,343","17,427,196"
.60 to 64 years,"14,088,870","14,089,115","14,217,791","14,852,068","14,746,798","14,933,115","15,228,403","15,585,458","15,884,502","16,212,292","16,465,193","16,625,865"
.65 to 69 years,"10,563,728","10,563,963","10,630,996","10,907,875","11,852,938","12,314,311","12,853,030","13,404,469","13,998,970","13,897,908","14,071,252","14,346,276"
.70 to 74 years,"7,910,434","7,910,685","7,955,465","8,173,773","8,511,481","9,022,400","9,398,401","9,718,971","9,975,614","10,852,628","11,285,154","11,781,647"
.75 to 79 years,"6,340,752","6,341,114","6,335,216","6,362,347","6,427,784","6,573,268","6,761,452","6,903,169","7,105,611","7,404,721","7,864,656","8,195,014"
.80 to 84 years,"5,078,511","5,079,049","5,087,669","5,087,413","5,066,516","5,023,214","4,990,133","4,998,357","5,035,767","5,092,765","5,220,559","5,374,916"
.85 years and over,"4,916,101","4,917,539","4,957,429","5,079,492","5,213,018","5,309,602","5,413,194","5,502,437","5,585,421","5,633,777","5,669,633","5,689,855"
,,,,,,,,,,,,
.Under 18 years,"54,745,018","54,745,505","54,674,759","54,418,318","54,143,859","53,906,920","53,750,895","53,641,955","53,529,785","53,354,493","53,063,747","52,758,293"
..Under 5 years,"14,690,507","14,690,548","14,675,375","14,602,334","14,472,665","14,359,811","14,358,578","14,366,534","14,329,680","14,287,580","14,194,137","14,055,084"
..5 to 13 years,"27,330,860","27,331,006","27,315,517","27,272,778","27,246,085","27,190,239","27,005,854","26,878,487","26,851,669","26,763,062","26,637,793","26,523,012"
..14 to 17 years,"12,723,651","12,723,951","12,683,867","12,543,206","12,425,109","12,356,870","12,386,463","12,396,934","12,348,436","12,303,851","12,231,817","12,180,197"
.18 to 64 years,"152,382,517","152,387,576","152,593,794","153,262,927","153,139,182","153,159,174","153,183,536","153,213,332","153,181,890","153,034,481","152,786,024","152,376,189"
..18 to 24 years,"22,980,185","22,981,738","23,016,006","23,108,587","23,202,558","23,197,604","23,090,132","22,835,723","22,562,950","22,337,185","22,219,788","22,089,498"
..25 to 44 years,"63,058,748","63,060,938","63,053,799","63,011,246","63,044,609","63,156,278","63,279,806","63,425,055","63,631,988","63,967,687","64,343,620","64,695,040"
..45 to 64 years,"66,343,584","66,344,900","66,523,989","67,143,094","66,892,015","66,805,292","66,813,598","66,952,554","66,986,952","66,729,609","66,222,616","65,591,651"
.65 years and over,"34,809,526","34,812,350","34,966,775","35,610,900","37,071,737","38,242,795","39,416,210","40,527,403","41,701,383","42,881,799","44,111,254","45,387,708"
.85 years and over,"4,916,101","4,917,539","4,957,429","5,079,492","5,213,018","5,309,602","5,413,194","5,502,437","5,585,421","5,633,777","5,669,633","5,689,855"
,,,,,,,,,,,,
.16 years and over,"193,647,622","193,655,695","193,998,000","195,239,991","196,486,875","197,607,591","198,780,797","199,928,192","201,127,840","202,164,235","203,035,528","203,848,098"
.18 years and over,"187,192,043","187,199,926","187,560,569","188,873,827","190,210,919","191,401,969","192,599,746","193,740,735","194,883,273","195,916,280","196,897,278","197,763,897"
.15 to 44 years,"95,650,682","95,654,688","95,657,584","95,588,060","95,603,490","95,634,157","95,634,860","95,577,900","95,527,981","95,576,208","95,741,304","95,927,577"
,,,,,,,,,,,,
.Median age (years),39.0,39.0,39.0,39.2,39.3,39.5,39.6,39.7,39.8,39.9,40.1,40.2
.MALE,"119,698,920","119,703,376","119,853,451","120,398,942","120,971,904","121,480,778","122,028,705","122,585,081","123,121,893","123,564,541","123,908,468","124,192,315"
..Under 5 years,"7,521,423","7,521,439","7,512,610","7,474,046","7,406,935","7,348,614","7,352,052","7,358,284","7,338,929","7,318,743","7,272,349","7,198,417"
..5 to 9 years,"7,705,715","7,705,743","7,694,251","7,671,533","7,687,351","7,683,622","7,623,262","7,575,956","7,545,068","7,486,212","7,432,631","7,432,676"
..10 to 14 years,"7,901,832","7,901,894","7,894,531","7,877,453","7,840,681","7,814,089","7,798,631","7,754,611","7,740,290","7,763,286","7,763,816","7,699,102"
..15 to 19 years,"8,408,391","8,408,898","8,386,996","8,268,433","8,147,105","8,059,311","7,998,288","7,986,709","7,976,961","7,946,244","7,920,698","7,898,407"
..20 to 24 years,"8,350,986","8,351,702","8,378,491","8,478,720","8,591,395","8,637,447","8,632,975","8,544,748","8,419,133","8,288,524","8,187,667","8,113,485"
..25 to 29 years,"8,202,631","8,203,141","8,216,739","8,244,384","8,262,461","8,296,877","8,389,974","8,497,478","8,616,249","8,715,476","8,746,412","8,723,515"
..30 to 34 years,"7,722,466","7,722,752","7,761,402","7,918,064","8,053,737","8,171,410","8,241,160","8,271,726","8,322,660","8,340,860","8,368,867","8,446,320"
..35 to 39 years,"7,813,703","7,813,988","7,763,567","7,540,129","7,479,922","7,521,172","7,610,171","7,761,244","7,930,484","8,065,344","8,179,538","8,241,017"
..40 to 44 years,"8,234,026","8,234,347","8,233,623","8,256,143","8,205,227","8,083,531","7,913,855","7,719,723","7,507,904","7,448,484","7,488,287","7,568,184"
..45 to 49 years,"9,030,996","9,031,284","8,995,336","8,768,285","8,549,640","8,334,867","8,163,156","8,118,367","8,148,591","8,100,802","7,980,558","7,809,387"
..50 to 54 years,"8,921,642","8,921,888","8,936,324","9,008,186","8,991,057","8,949,287","8,905,766","8,775,380","8,559,230","8,348,076","8,140,158","7,972,299"
..55 to 59 years,"7,905,694","7,905,849","7,953,850","8,111,605","8,284,573","8,423,536","8,515,624","8,604,240","8,674,280","8,657,432","8,617,591","8,576,309"
..60 to 64 years,"6,841,051","6,841,181","6,902,597","7,205,037","7,149,056","7,231,416","7,368,141","7,539,519","7,685,402","7,845,811","7,974,578","8,061,864"
..65 to 69 years,"5,023,639","5,023,771","5,058,084","5,199,494","5,663,542","5,891,010","6,151,107","6,413,176","6,689,595","6,633,595","6,706,802","6,831,995"
..70 to 74 years,"3,656,614","3,656,752","3,679,513","3,785,808","3,950,693","4,197,268","4,375,934","4,532,680","4,660,946","5,084,424","5,294,464","5,530,279"
..75 to 79 years,"2,792,505","2,792,645","2,792,987","2,818,604","2,859,471","2,935,472","3,030,376","3,102,071","3,198,162","3,340,544","3,557,382","3,711,138"
..80 to 84 years,"2,053,646","2,053,827","2,062,903","2,081,902","2,090,900","2,088,850","2,088,157","2,104,372","2,132,421","2,167,120","2,231,462","2,307,320"
..85 years and over,"1,611,960","1,612,275","1,629,647","1,691,116","1,758,158","1,812,999","1,870,076","1,924,797","1,975,588","2,013,564","2,045,208","2,070,601"
,,,,,,,,,,,,
..Under 18 years,"28,081,071","28,081,357","28,040,628","27,893,415","27,739,232","27,606,265","27,522,581","27,466,099","27,406,880","27,316,546","27,165,218","27,009,051"
...Under 5 years,"7,521,423","7,521,439","7,512,610","7,474,046","7,406,935","7,348,614","7,352,052","7,358,284","7,338,929","7,318,743","7,272,349","7,198,417"
...5 to 13 years,"14,007,934","14,008,001","13,998,258","13,973,624","13,954,619","13,921,164","13,821,402","13,754,628","13,742,795","13,698,199","13,633,457","13,576,534"
...14 to 17 years,"6,551,714","6,551,917","6,529,760","6,445,745","6,377,678","6,336,487","6,349,127","6,353,187","6,325,156","6,299,604","6,259,412","6,234,100"
..18 to 64 years,"76,479,485","76,482,749","76,589,689","76,928,603","76,909,908","76,948,914","76,990,474","77,041,886","77,058,301","77,008,748","76,907,932","76,731,931"
...18 to 24 years,"11,807,276","11,808,319","11,826,251","11,876,770","11,934,235","11,936,818","11,882,627","11,754,209","11,613,501","11,486,463","11,411,943","11,333,036"
...25 to 44 years,"31,972,826","31,974,228","31,975,331","31,958,720","32,001,347","32,072,990","32,155,160","32,250,171","32,377,297","32,570,164","32,783,104","32,979,036"
...45 to 64 years,"32,699,383","32,700,202","32,788,107","33,093,113","32,974,326","32,939,106","32,952,687","33,037,506","33,067,503","32,952,121","32,712,885","32,419,859"
..65 years and over,"15,138,364","15,139,270","15,223,134","15,576,924","16,322,764","16,925,599","17,515,650","18,077,096","18,656,712","19,239,247","19,835,318","20,451,333"
..85 years and over,"1,611,960","1,612,275","1,629,647","1,691,116","1,758,158","1,812,999","1,870,076","1,924,797","1,975,588","2,013,564","2,045,208","2,070,601"
,,,,,,,,,,,,
..16 years and over,"94,946,085","94,950,389","95,131,573","95,782,633","96,458,994","97,058,110","97,674,389","98,291,438","98,917,199","99,449,587","99,884,722","100,296,595"
..18 years and over,"91,617,849","91,622,019","91,812,823","92,505,527","93,232,672","93,874,513","94,506,124","95,118,982","95,715,013","96,247,995","96,743,250","97,183,264"
..15 to 44 years,"48,732,203","48,734,828","48,740,818","48,705,873","48,739,847","48,769,748","48,786,423","48,781,628","48,773,391","48,804,932","48,891,469","48,990,928"
,,,,,,,,,,,,
..Median age (years),37.7,37.7,37.7,37.9,38.0,38.1,38.2,38.3,38.5,38.6,38.8,39.0
.FEMALE,"122,238,141","122,242,055","122,381,877","122,893,203","123,382,874","123,828,111","124,321,936","124,797,609","125,291,165","125,706,232","126,052,557","126,329,875"
..Under 5 years,"7,169,084","7,169,109","7,162,765","7,128,288","7,065,730","7,011,197","7,006,526","7,008,250","6,990,751","6,968,837","6,921,788","6,856,667"
..5 to 9 years,"7,338,075","7,338,116","7,327,836","7,306,130","7,323,300","7,322,563","7,269,726","7,229,957","7,201,336","7,144,639","7,093,157","7,084,989"
..10 to 14 years,"7,497,140","7,497,192","7,494,987","7,492,641","7,463,539","7,446,560","7,435,776","7,397,775","7,380,368","7,401,440","7,402,110","7,343,403"
